layer_id,theme,subtheme,layer_name,gee_asset,layer_info,unit,operator
woodfuel_harvest,beneficios,Medios de vida locales,Recolección de leña,projects/john-ee-282116/assets/fao-restoration/features/Woodfuel_gadm36_1_edited_image,"Producción anual de leña para el año disponible más reciente, expresada en metros cúbicos por hectárea de bosque. Un mayor nivel de cosecha implica una mayor demanda de leña como fuente de energía, lo que tiende a hacer que la restauración sea más factible cuando el suministro de madera para satisfacer las demandas locales es un beneficio de restauración deseado.",m3/ha,
plantation_growth_rates,beneficios,Producción de madera,Tasa de crecimiento de plantaciones,projects/john-ee-282116/assets/fao-restoration/features/yields-4326,"Producción anual de biomasa leñosa por especies arbóreas cultivadas en plantaciones, expresada en toneladas secas por hectárea por año. Una tasa de crecimiento más alta tiende a hacer que la restauración sea más factible cuando los ingresos para los propietarios de tierras y el suministro de madera para satisfacer las demandas locales son los beneficios de restauración deseados.",dry tons/ha/yr,
city_access,restricciones,Socioeconómico,Accesibilidad a las ciudades,Oxford/MAP/accessibility_to_cities_2015_v1_0,"Tiempo de viaje estimado a la ciudad más cercana para el año disponible más reciente, expresado en horas. Una mayor accesibilidad puede hacer que la restauración sea más factible al aumentar el rendimiento obtenido por los productos forestales vendidos en los mercados urbanos, pero también puede hacer que la restauración sea menos factible al aumentar el rendimiento obtenido por los productos de usos de la tierra no forestales.",hours,lt
forest_job,beneficios,Medios de vida locales,Empleo forestal,projects/john-ee-282116/assets/fao-restoration/features/emp_ha,"Número de puestos de trabajo relacionados con los bosques por hectárea de tierras forestales durante el año disponible más reciente. Un mayor nivel de empleo forestal implica condiciones comerciales atractivas para las industrias de extracción y procesamiento de madera que requieren mucha mano de obra, lo que tiende a hacer que la restauración sea más factible cuando los ingresos de los hogares locales son un beneficio de restauración deseado.",jobs/ha,
ground_carbon,beneficios,Captura de carbón,Acumulación de carbono sobre el suelo,projects/john-ee-282116/assets/fao-restoration/features/young_forest_sequestration_rate_Griscom_extent,"Tasa anual a la que los bosques generados naturalmente secuestran carbono en la biomasa aérea, expresada en toneladas de carbono por hectárea por año. Una tasa más alta tiende a hacer que la restauración sea más factible cuando la mitigación del cambio climático es un beneficio de restauración deseado.",tons/ha/yr,
biodiversity_intactness,beneficios,Conservación de la Biodiversidad,Índice de integridad de la biodiversidad,projects/john-ee-282116/assets/fao-restoration/features/ibii-4326,"La abundancia promedio de un conjunto grande y diverso de especies, expresada como porcentaje del conjunto de especies presentes originalmente. Un porcentaje más alto tiende a hacer que la restauración sea más factible cuando la conservación de la biodiversidad es un beneficio de restauración deseado.",percent,
endangered_species,beneficios,Conservación de la Biodiversidad,Especie en peligro,projects/john-ee-282116/assets/fao-restoration/features/terra-bio-div-image,"Número total de especies de mamíferos, aves, reptiles y anfibios en peligro crítico y en peligro, expresado por kilómetro cuadrado. Un número mayor tiende a hacer que la restauración sea más factible cuando la conservación de la biodiversidad es un beneficio de restauración deseado.",number/km2,
ecozones,restricciones,Biofísico,Ecorregión terrestre,projects/john-ee-282116/assets/fao-restoration/features/gez_2010_wgs84_split,"Indicador de zona con especies distintivas y características naturales, que indica el ecosistema que ocurriría en condiciones naturales. Algunas partes interesadas en la restauración pueden preferir evitar la restauración forestal en determinadas ecorregiones (p. Ej., Pastizales).",binary,
land_cover,restricciones,Socioeconómico,Cobertura terrestre actual,COPERNICUS/Landcover/100m/Proba-V-C3/Global/2019,"Indicador de cobertura terrestre actual (tierras de cultivo, urbanas, etc.). Algunas partes interesadas en la restauración pueden preferir evitar la restauración forestal en sitios con una cobertura terrestre particular (por ejemplo, tierras de cultivo, para reducir la competencia con la producción de alimentos).",binary,
protected_areas,restricciones,Socioeconómico,Áreas protegidas,WCMC/WDPA/current/polygons,"Indicador de sitio ubicado en un parque nacional u otra área protegida por el gobierno en reconocimiento de sus características naturales, ecológicas o culturales.",binary,
slope,restricciones,Biofísico,Pendiente,USGS/SRTMGL1_003,"Desviación de la horizontal, expresada en porcentaje. Una pendiente más alta puede hacer que la restauración sea más factible al aumentar los beneficios asociados con la reducción de la erosión del suelo, pero también puede hacer que la restauración sea menos factible al aumentar el costo del establecimiento forestal (especialmente cuando se utiliza la restauración activa).",percent,gt
elevation,restricciones,Biofísico,Elevación,USGS/SRTMGL1_003,"Altura sobre el nivel del mar, expresada en metros. El impacto en la viabilidad de la restauración depende de las especies de árboles y los beneficios previstos de la restauración.",m,gt
natural_regeneration,restricciones,Cambio forestal,Variabilidad de la regeneración natural,projects/john-ee-282116/assets/fao-restoration/features/Regeneration ,"Es más probable que la regeneración natural tenga éxito cuando los sitios de restauración están más cerca de los bosques naturales restantes, que son una fuente esencial de semillas. La herramienta de planificación SEPAL FR utiliza datos de 2015 sobre la cubierta forestal dentro de una zona de influencia de 5 km de un píxel de restauración para predecir la probabilidad de éxito de la regeneración natural en una escala de 0 (sin posibilidad de éxito) a 1 (cierto éxito). Incertidumbre en el éxito de la regeneración natural, expresada como un índice que va de 0 (sin incertidumbre) a 1 (incertidumbre completa). Una menor incertidumbre tiende a hacer más viable la restauración a través de la regeneración natural.",index (0 to 1),lt
declining_population,restricciones,Socioeconómico,Población en declive,projects/john-ee-282116/assets/fao-restoration/features/population_decline_masked,Indicador de que la población en una zona de amortiguamiento de 5 km alrededor del sitio disminuyó durante el período de 10 años más reciente. La disminución de la población tiende a hacer que la restauración sea más factible al reducir el costo de oportunidad de la tierra y el riesgo de que los bosques restaurados se conviertan en usos de la tierra no forestales.,binary,
property_rights,restricciones,Socioeconómico,Protección de los derechos de propiedad,projects/john-ee-282116/assets/fao-restoration/features/RL_gadm36_1_edited_image,"Fortaleza de los derechos de propiedad, expresada como un índice que va de -2.5 (derechos de propiedad muy débiles) a +2.5 (derechos de propiedad muy fuertes). Los derechos de propiedad más sólidos tienden a hacer que la restauración sea más factible al aumentar la confianza de los propietarios de que recibirán los beneficios de sus inversiones en restauración.",index (-2.5 to 2.5),gt
deforestation_rate,restricciones,Cambio forestal,Tasa de deforestación,projects/john-ee-282116/assets/fao-restoration/features/DeforestRate,"Tasa anual de pérdida de cobertura forestal durante el período de 10 años más reciente dentro de una zona de amortiguamiento de 5 km alrededor de un sitio, expresada como un porcentaje y se fija en cero si el área forestal está aumentando (es decir, no se está produciendo deforestación) Una tasa más baja tiende a hacer que la restauración sea más factible al reducir el riesgo de que los bosques restaurados se conviertan en usos de la tierra no forestales.",percent/yr,lt
climate_risk,restricciones,Cambio forestal,Riesgo climático,projects/john-ee-282116/assets/fao-restoration/features/future_risk,"Cambio en la cobertura arbórea potencial debido al cambio climático, expresado como la diferencia, en puntos porcentuales, entre la cobertura arbórea potencial en 2050 y la cobertura arbórea potencial en la actualidad. Los valores positivos indican aumentos en la cobertura arbórea potencial, que tienden a hacer que la restauración sea más factible, mientras que los valores negativos indican disminuciones, que tienden a hacer que la restauración sea menos factible.",percent,gt
population_density,restricciones,Socioeconómico,Densidad de población,CIESIN/GPWv411/GPW_Population_Density/gpw_v4_population_density_rev11_2015_30_sec,Número total de personas por kilómetro cuadrado en el último año disponible. La menor densidad de población tiende a hacer que la restauración sea más factible al reducir el costo de oportunidad de la tierra y el riesgo de que los bosques restaurados se conviertan en usos de la tierra no forestales.,people/km2,lt
