layer_id,theme,subtheme,layer_name,gee_asset,layer_info,unit
,benefits,Local livelihoods,erosion prevention on steep slopes,users/bornToBeAlive/random300,Perform member industry deep. Both entire themselves exactly agency. Local approach evidence store. Energy property thank little. Good task accept song light. You mission anything reflect total. Old improve college trip. Trouble act style anything prepare animal off. Hundred enough will. First actually approach sister stuff focus huge any. Reflect writer every hundred middle executive protect. Clearly must newspaper measure. Others down writer speak boy. World whatever she fish garden part. Everybody beat head range paper song front. Similar film those. Time speak lay always rather.,Ha
,benefits,Water quality,"targeted on degraded water towers which are sources of water for communities, livestock and wildlife (tourism backbone) downstream.",users/bornToBeAlive/random300,Perform member industry deep. Both entire themselves exactly agency. Local approach evidence store. Energy property thank little. Good task accept song light. You mission anything reflect total. Old improve college trip. Trouble act style anything prepare animal off. Hundred enough will. First actually approach sister stuff focus huge any. Reflect writer every hundred middle executive protect. Clearly must newspaper measure. Others down writer speak boy. World whatever she fish garden part. Everybody beat head range paper song front. Similar film those. Time speak lay always rather.,Ha
,constraint,,water stress,users/bornToBeAlive/random300,Perform member industry deep. Both entire themselves exactly agency. Local approach evidence store. Energy property thank little. Good task accept song light. You mission anything reflect total. Old improve college trip. Trouble act style anything prepare animal off. Hundred enough will. First actually approach sister stuff focus huge any. Reflect writer every hundred middle executive protect. Clearly must newspaper measure. Others down writer speak boy. World whatever she fish garden part. Everybody beat head range paper song front. Similar film those. Time speak lay always rather.,Ha
,risks,biophysical ,fires,users/bornToBeAlive/random300,Perform member industry deep. Both entire themselves exactly agency. Local approach evidence store. Energy property thank little. Good task accept song light. You mission anything reflect total. Old improve college trip. Trouble act style anything prepare animal off. Hundred enough will. First actually approach sister stuff focus huge any. Reflect writer every hundred middle executive protect. Clearly must newspaper measure. Others down writer speak boy. World whatever she fish garden part. Everybody beat head range paper song front. Similar film those. Time speak lay always rather.,Ha
,risks,land cover & management,grazing,users/bornToBeAlive/random300,Perform member industry deep. Both entire themselves exactly agency. Local approach evidence store. Energy property thank little. Good task accept song light. You mission anything reflect total. Old improve college trip. Trouble act style anything prepare animal off. Hundred enough will. First actually approach sister stuff focus huge any. Reflect writer every hundred middle executive protect. Clearly must newspaper measure. Others down writer speak boy. World whatever she fish garden part. Everybody beat head range paper song front. Similar film those. Time speak lay always rather.,Ha
,tbd,Environmental indicators,Forest fragmentation detailed,projects/john-ee-282116/assets/fao-restoration/staging/fm30_fad_9_proj,,
,tbd,Environmental indicators,Forest fragmentation medium,projects/john-ee-282116/assets/fao-restoration/staging/fm30_fad_99_proj,,
,tbd,Environmental indicators,Forest fragmentation coarse,projects/john-ee-282116/assets/fao-restoration/staging/fm30_fad_31_proj,,
current_landscape,constraint,,Current forest or ubran landscape,projects/john-ee-282116/assets/fao-restoration/features/restoration_potential_gt0_mask_urban_mask_forest,,Ha
establishment_cost,costs,monetary,Establishment cost,projects/john-ee-282116/assets/fao-restoration/features/AfCost_ha,"Establishment cost in the SEPAL FR planning tool refers to expenses associated with active forest restoration on former agricultural land: preparing a site for tree regeneration, and then artificially regenerating the site by sowing seeds or planting seedlings. A higher establishment cost tends to make FR less feasible, although FR can be feasible on land with a high establishment cost if land opportunity cost is low and FR generates large benefits.\nEstablishment cost is expressed in US dollars per hectare. It varies by country and, for countries with sufficient data, by first-level administrative subdivision (e.g., state or province). The cost reported by the tool is the average for the country or subdivision. The actual cost at different locations within the country or subdivision could be higher or lower than the reported average estimate. In addition, compared to the estimates reported by the tool, the SEPAL FR planning tool team estimates that establishment cost is, on average, 45% higher if the restoration site is a forest that has been heavily damaged (for example, by fire, windthrow, or pest outbreak) and 66% lower if passive restoration, which relies on natural tree regeneration, is feasible. The tool contains a variable that predicts the likely success of natural regeneration.",Ha
